OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1D,1H,ALL further bidding is similar to sequences following 1C-1H:,,
Natural 4+,Natural 4+ suit,,,
10-21pts,5+pts,1S- natural,"2C-FSF; 3C- spade raise, D shortage; 2D-weak",Appendix 5
,,,"2H- 6+ invit; 3H- 6+, Raises/NT- natural;",
,,,,
,,1NT – 11-13 balanced,"2C/2D/2NT-checkback; 2H-weak, 2S/3C- nat",Appendix 2
NB.shouldn’t be,NB.shouldn’t have:,,3D-invit; 3H- good 6+;,
,,,,
a) 4-4 in minors,a) 4 card support,"2C- natural, usually 5-4","2S- FSF; 3S- club support, D shortage",Natural
if balanced,10+pts unless 5+H,,"2H- 6+ invit; 3H- 6+, Raises/NT- natural;",
(1C),(2D),,,
b) 4-4 with major,b) 6+ H suit,"2D- minimum, usually 6+D","2H- 6+ invit; 3H- 6+, Raises/NT/New Suit- natural;",Natural
unless major poor,3-8pts unless,,,
(1H or 1S),3+ support,"2H – minimum raise, may be 3 card support",2NT- support check; Game Tries,Natural (game try)
c) 14-16/19+ bal,(2H),,,
(1NT/2C/2D),c) 15+ balanced,2S- strong and distributional (6-4+),3C- FSF;2NT-weak hand; Raise-nat; 3H-good 6+,Natural
d) 5-5 in minors,(2NT),,,
8-13pts (2NT),,2NT – 17-18pts balanced,3C-checkback; 3H- good 6+; 3D/3S- nat (5-5),Appendix 2
,,,,
,,3C- strong and distributional (5-5+),3S-FSF; Raise- Natural; 3H- good 6+,Natural
,,,,
,,"3D- good 6+ card suit, 7-8 tricks",New suit- may be values; 3H-good 6+,Natural
,,,,
,,3H- invitational raise (15+unbal or 17-18 bal),New suit- cue bid; 3NT- alternative (Not serious),Natural (cue bid
,,"3S/4C- Splinter, strong with good support",New suit- cue bid,Natural (cue bid
,,3NT – (semi) solid club suit + stops+3H,New suit- cue bid (hearts); 4D-agrees suit,Natural
,,4D- very good suit with support,New suit- cue bid,Natural (cue bid
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?
,,,,
1D,1S,ALL further bidding is similar to sequences following 1D-1H::,,
Natural 4+,Natural 4+ suit,1NT – 11-13 balanced,2C/2D/2NT-checkback; 2H/2S- weak; 3D- invit,Appendix 2
10-21pts,5+pts,,3C/3H- good 5-5; 3S- good 6+,
,,,,
,,"2C – 5+ clubs, limited",2H FSF; 3H- club support with D shortage,Appendix 5
,,,2S- 6+ invit; Raises/NT- natural; 3S-6+; 2D-weak,
,,,,
,,"2D- minimum, usually 6+D",2H/3C- natural; 2S- 6+ invit; Raises/NT- natural,Natural
,,,3S- good 6+; 3H/4C- Splinters; 4D-RKCB,
,,,,
,,2H- REVERSE. 5-4+ 15+pts,2NT- FORCES 3C; 3C- FSF; 3D/3H-sound raise,Appendix 3
,,,3S- good 6+; 2S- 5+,
,,2S – minimum raise (may be 3 card support),2NT- support check; Game try,Natural (game try)
,,,,
,,2NT – 17-18pts balanced,3C- checkback; 3D/3H- natural (5-5); 3S- 6+,Appendix 2
,,,,
,,3C- strong and distributional (5-5+),3H-FSF; Raises- natural; 3S- good 6+,Natural
,,,,
,,"3D- good 6+ card suit, 7-8 tricks",New Suit-may just be values; 3S- good 6+,Natural
,,,,
,,3H- splinter,New suit- cue bid; 3S- (sub) min,Natural
,,3S- invitational raise (15+ unbal or 17-18 bal),New suit- cue bid; 3NT- alternative (Not serious),Natural (cue bid
,,3NT – (semi) solid club suit + stops +3S,New suit- cue bid (spades); 4D-agrees D,Natural
,,"4C/4H- Splinter/void, strong with good support",New suit- cue bid,Natural (cue bid
,,4D- very good suit with support,New suit- cue bid,Natural (cue bid
,,,,
1D,1NT,2C- either; D+C limited or very strong;,2D – 5-8pts (all unless 6 clubs),Appendix 6
Natural 4+,5-12pts,      or very strong D single suiter,2H/2S/2NT – 9-12pts with 2/3 diamonds,Appendix 6
